,ID,NAME,RESOLUTION,REF,FUNCTION,UPDATE
0,anika_radd_test,,,,,
1,arg_native_forest_land_plan,Ordenamiento Territorial del Bosque Nativo,,,,
2,berkeley_earth_temp_anomaly_2000_2020,Annual Surface Temperature Anomalies,1 degree x 1 degree,http://berkeleyearth.org/ ,"Annual average surface air temperature anomaly, compared to the 1951-1980 average",Annual
3,birdlife_alliance_for_zero_extinction_sites,Alliance for Zero Extinction sites,,http://www.zeroextinction.org/,Displays critical sites for conservation that contain endangered species with limited ranges and populations found nowhere else on the planet,Every 5 years
4,birdlife_biodiversity_intactness,Biodiversity Intactness,1 km x 1 km,,Displays the impacts of forest change on local biodiversity intactness ,Annual
5,birdlife_biodiversity_significance,Biodiversity Significance,1 km x 1 km,,"Displays the relative importance of each pixel in terms of its aggregate contribution to the distribution of forest-dependent species of mammals, birds, amphibians, and conifers. ",Annual
6,birdlife_endemic_bird_areas,Endemic Bird Areas, ,http://www.birdlife.org/datazone/eba,Displays areas where the geographic range of two or more endemic bird species overlaps,v2014
7,birdlife_key_biodiversity_areas,Key Biodiversity Areas,KBAs are sites i.e. actual or potential management units. Many are protected areas,,KBAs are 'sites contributing significantly to the global persistence of biodiversity’,"Ongoing, with multiple updates per year"
8,cartocritica_mex_protected_areas_2016,Mexico protected areas, ,,"Shows the location of Mexico’s national, state, and municipal protected areas as well as voluntary conservation areas", 
9,ci_biodiversity_hotspots,Biodiversity hotspots, ,,Displays Conservation International’s biodiversity hotspots—defined regions around the world where biodiversity conservation is most urgent because of high levels of endemism and human threat, 
10,cifor_peatlands,Tropical and Subtropical Peatland Distribution,231 x 231 meter,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,,
11,cifor_wetlands,Tropical and Subtropical Wetlands Distribution,231 x 231 meter,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,,
12,clark_labs_tropical_pond_aquaculture_1999,Clark labs Tropical Pond Aquaculture (1999),,,,
13,clark_labs_tropical_pond_aquaculture_2014,Clark labs Tropical Pond Aquaculture (1999),,,,
14,clark_labs_tropical_pond_aquaculture_2018,Clark labs Tropical Pond Aquaculture (1999),,,,
15,clark_labs_tropical_pond_aquaculture_change_1999_2014,Clark Labs Tropical Pond Aquaculture Change (1999-2014),,,,
16,clark_labs_tropical_pond_aquaculture_change_1999_2018,Clark Labs Tropical Pond Aquaculture Change (1999-2018),,,,
17,clark_labs_tropical_pond_aquaculture_change_2014_2018,Clark Labs Tropical Pond Aquaculture Change (2014-2018),,,,
18,conafor_mex_forest_type,Mexico forest cover,"1:50,000 scale",,Shows the coverage of forests in Mexico, 
19,conafor_mex_forest_zoning,Mexico land rights, ,http://catalogo.datos.gob.mx/dataset/perimetrales-de-los-nucleos-agrarios-certificados,Shows the location of ejidos and community lands in Mexico, 
20,dtu_wb_wind_speed_potential_2001_2010,Wind Speed Potential,1 km x 1 km,https://www.globalwindatlas.info/about/introduction,Mean wind speed for any location on Earth,
21,esa_land_cover_2015,Land cover ,300 × 300 meters,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf ,Shows the global distribution of land cover in 2015,Annual
22,fao_ecozones,FAO Global Ecological Zones,,,,
23,funai_bra_indigenous_lands,FUNAI Brazil Indigenous Lands,,,,
24,funai_bra_indigenous_territories,FUNAI Brazil Indigenous Territories,,,,
25,gadm_adm0_africa,GADM (4.1) national boundaries - Africa,,,,
26,gadm__burned_areas__adm1_weekly_alerts,,,,,
27,gadm__burned_areas__adm1_whitelist,,,,,
28,gadm__burned_areas__adm2_daily_alerts,,,,,
29,gadm__burned_areas__adm2_weekly_alerts,,,,,
30,gadm__burned_areas__adm2_whitelist,,,,,
31,gadm__burned_areas__iso_weekly_alerts,,,,,
32,gadm__burned_areas__iso_whitelist,,,,,
33,gadm__glad__adm1_daily_alerts,,,,,
34,gadm__glad__adm1_summary,,,,,
35,gadm__glad__adm1_weekly_alerts,,,,,
36,gadm__glad__adm1_whitelist,,,,,
37,gadm__glad__adm2_daily_alerts,,,,,
38,gadm__glad__adm2_summary,,,,,
39,gadm__glad__adm2_weekly_alerts,,,,,
40,gadm__glad__adm2_whitelist,,,,,
41,gadm__glad__iso_daily_alerts,,,,,
42,gadm__glad__iso_summary,,,,,
43,gadm__glad__iso_weekly_alerts,,,,,
44,gadm__glad__iso_whitelist,,,,,
45,gadm__integrated_alerts__adm1_daily_alerts,,,,,
46,gadm__integrated_alerts__adm2_daily_alerts,,,,,
47,gadm__integrated_alerts__iso_daily_alerts,,,,,
48,gadm__modis__adm1_weekly_alerts,,,,,
49,gadm__modis__adm1_whitelist,,,,,
50,gadm__modis__adm2_daily_alerts,,,,,
51,gadm__modis__adm2_weekly_alerts,,,,,
52,gadm__modis__adm2_whitelist,,,,,
53,gadm__modis__iso_weekly_alerts,,,,,
54,gadm__modis__iso_whitelist,,,,,
55,gadm__tcl__adm1_change,,,,,
56,gadm__tcl__adm1_summary,,,,,
57,gadm__tcl__adm1_whitelist,,,,,
58,gadm__tcl__adm2_change,,,,,
59,gadm__tcl__adm2_summary,,,,,
60,gadm__tcl__adm2_whitelist,,,,,
61,gadm__tcl__iso_change,,,,,
62,gadm__tcl__iso_summary,,,,,
63,gadm__tcl__iso_whitelist,,,,,
64,gadm__viirs__adm1_weekly_alerts,,,,,
65,gadm__viirs__adm1_whitelist,,,,,
66,gadm__viirs__adm2_daily_alerts,,,,,
67,gadm__viirs__adm2_weekly_alerts,,,,,
68,gadm__viirs__adm2_whitelist,,,,,
69,gadm__viirs__iso_weekly_alerts,,,,,
70,gadm__viirs__iso_whitelist,,,,,
71,geostore__burned_areas__daily_alerts,,,,,
72,geostore__burned_areas__weekly_alerts,,,,,
73,geostore__burned_areas__whitelist,,,,,
74,geostore__glad__daily_alerts,,,,,
75,geostore__glad__summary,,,,,
76,geostore__glad__weekly_alerts,,,,,
77,geostore__glad__whitelist,,,,,
78,geostore__integrated_alerts__daily_alerts,,,,,
79,geostore__modis__daily_alerts,,,,,
80,geostore__modis__weekly_alerts,,,,,
81,geostore__modis__whitelist,,,,,
82,geostore__tcl__change,,,,,
83,geostore__tcl__summary,,,,,
84,geostore__tcl__whitelist,,,,,
85,geostore__viirs__daily_alerts,,,,,
86,geostore__viirs__weekly_alerts,,,,,
87,geostore__viirs__whitelist,,,,,
88,gfw_aboveground_carbon,GFW Carbon Model - Aboveground Carbon,,,Contextual layer for the GFW forest carbon model,
89,gfw_belowground_carbon,GFW Carbon Model - Belowground Carbon,,,Contextual layer for the GFW forest carbon model,
